Year,State,Place,Name
2021,Pahang,Bentong,"Bentong, Pahang"
2021,Pahang,Bera,"Bera, Pahang"
2021,Terengganu,Besut,"Besut, Terengganu"
2021,Pahang,Cameron Highlands,"Cameron Highlands, Pahang"
2021,Terengganu,Dungun,"Dungun, Terengganu"
2021,Selangor,Gombak,"Gombak, Selangor"
2021,Kelantan,Gua Musang,"Gua Musang, Kelantan"
2021,Perak,Hilir Perak,"Hilir Perak, Perak"
2021,Selangor,Hulu Langat,"Hulu Langat, Selangor"
2021,Perak,Hulu Perak,"Hulu Perak, Perak"
2021,Selangor,Hulu Selangor,"Hulu Selangor, Selangor"
2021,Terengganu,Hulu Terengganu,"Hulu Terengganu, Terengganu"
2021,Melaka,Jasin,"Jasin, Melaka"
2021,Negeri Sembilan,Jelebu,"Jelebu, Negeri Sembilan"
2021,Negeri Sembilan,Jempol,"Jempol, Negeri Sembilan"
2021,Pahan g,Jerantut,"Jerantut, Pahan g"
2021,Perak,Kampar,"Kampar, Perak"
2021,Terengganu,Kemaman,"Kemaman, Terengganu"
2021,Perak,Kerian,"Kerian, Perak"
2021,Perak,Kinta,"Kinta, Perak"
2021,Selangor,Klang,"Klang, Selangor"
2021,Kelantan,Kota Bharu,"Kota Bharu, Kelantan"
2021,Perak,Kuala Kangsar,"Kuala Kangsar, Perak"
2021,Kelantan,Kuala Krai,"Kuala Krai, Kelantan"
2021,Selangor,Kuala Langat,"Kuala Langat, Selangor"
2021,Perak,Matang,"Matang, Perak"
2021,Pahang,Lipis,"Lipis, Pahang"
2021,Kelantan,Machang,"Machang, Kelantan"
2021,Perak,Manjung,"Manjung, Perak"
2021,Pahang,Maran,"Maran, Pahang"
2021,Terengganu,Marang,"Marang, Terengganu"
2021,Melaka,Melaka Tengah,"Melaka Tengah, Melaka"
2021,Kelantan,Pasir Mas,"Pasir Mas, Kelantan"
2021,Kelantan,Pasir Puteh,"Pasir Puteh, Kelantan"
2021,Pahang,Pekan,"Pekan, Pahang"
2021,Selangor,Perak Tengah,"Perak Tengah, Selangor"
2021,Selangor,Petaling,"Petaling, Selangor"
2021,Negeri Sembilan,Port Dickson,"Port Dickson, Negeri Sembilan"
2021,Pahang,Raub,"Raub, Pahang"
2021,Negeri Sembilan,Rembau,"Rembau, Negeri Sembilan"
2021,Negeri Sembilan,Rompin,"Rompin, Negeri Sembilan"
2021,Selangor,Sabak Bernam,"Sabak Bernam, Selangor"
2021,Selangor,Sepang,"Sepang, Selangor"
2021,Negeri Sembilan,Seremban,"Seremban, Negeri Sembilan"
2021,Terengganu,Setiu,"Setiu, Terengganu"
2021,Negeri Sembilan,Tampin,"Tampin, Negeri Sembilan"
2021,Kelantan,Tanah Merah,"Tanah Merah, Kelantan"
2021,Pahang,Temerloh,"Temerloh, Pahang"
2021,Kelantan,Tumpat,"Tumpat, Kelantan"
2022,Sabah,Pitas,"Pitas, Sabah"
2022,Pahang,Raub,"Raub, Pahang"
2022,Sabah,Tongod,"Tongod, Sabah"
2022,Pahang,Kuantan ,"Kuantan , Pahang"
2022,Kelantan,Jeli,"Jeli, Kelantan"
2022,Kelantan,Kota Bharu,"Kota Bharu, Kelantan"
2022,Kelantan,Kuala Krai,"Kuala Krai, Kelantan"
2022,Kelantan,Machang,"Machang, Kelantan"
2022,Kelantan,Pasir Mas,"Pasir Mas, Kelantan"
2022,Kelantan,Pasir Puteh,"Pasir Puteh, Kelantan"
2022,Kelantan,Tanah Merah,"Tanah Merah, Kelantan"
2022,Terengganu,Besut,"Besut, Terengganu"
2022,Terengganu,Dungun,"Dungun, Terengganu"
2022,Terengganu,Hulu Terengganu,"Hulu Terengganu, Terengganu"
2022,Terengganu,Kemaman,"Kemaman, Terengganu"
2022,Terengganu,Kuala Nerus,"Kuala Nerus, Terengganu"
2022,Terengganu,Kuala Terengganu,"Kuala Terengganu, Terengganu"
2022,Terengganu,Marang,"Marang, Terengganu"
2022,Terengganu,Setiu,"Setiu, Terengganu"
2022,Kuala Lumpur,Kuala Lumpur,"Kuala Lumpur, Kuala Lumpur"
2022,Melaka,Jasin,"Jasin, Melaka"
2022,Negeri Sembilan,Jelebu,"Jelebu, Negeri Sembilan"
2022,Selangor,Gombak,"Gombak, Selangor"
2022,Selangor,Hulu Langat,"Hulu Langat, Selangor"
2022,Selangor,Kuala Langat,"Kuala Langat, Selangor"
2022,Selangor,Petaling,"Petaling, Selangor"
2022,Selangor,Sepang,"Sepang, Selangor"
2022,Pahang,Bentong,"Bentong, Pahang"
2022,Perak,Batang Padang,"Batang Padang, Perak"
2022,Perak,Mualim,"Mualim, Perak"
2022,Selangor,Kuala Selangor,"Kuala Selangor, Selangor"
2022,Kedah,Kuala Muda,"Kuala Muda, Kedah"
2022,Kedah,Baling,"Baling, Kedah"
2022,Johor,Batu Pahat,"Batu Pahat, Johor"
2022,Johor,Batu Pahat,"Batu Pahat, Johor"
2022,Johor,Johor Bahru,"Johor Bahru, Johor"
2022,Johor,Pontian,"Pontian, Johor"
2022,Johor,Kluang,"Kluang, Johor"
2022,Johor,Kulaijaya,"Kulaijaya, Johor"
2022,Johor,Pontian,"Pontian, Johor"
2022,Sabah,Beaufort,"Beaufort, Sabah"
2022,Sarawak,Bintulu,"Bintulu, Sarawak"
2022,Sabah,Keningau,"Keningau, Sabah"
2022,Sabah,Kunak,"Kunak, Sabah"
2022,Sabah,Penampang,"Penampang, Sabah"
2022,Johor,Segamat,"Segamat, Johor"
2022,Sabah,Sipitang,"Sipitang, Sabah"
2022,Sabah,Tenom,"Tenom, Sabah"
2022,Kedah,Kubang Pasu,"Kubang Pasu, Kedah"
2022,Kedah,Kota Setar,"Kota Setar, Kedah"
2022,Kedah,Padang Terap,"Padang Terap, Kedah"
2022,Melaka,Alor Gajah,"Alor Gajah, Melaka"
2022,Melaka,Melaka Tengah,"Melaka Tengah, Melaka"
2022,Pahang,Lipis,"Lipis, Pahang"
2022,Pahang,Raub,"Raub, Pahang"
2022,Johor,Kota Tinggi,"Kota Tinggi, Johor"
2022,Johor,Segamat,"Segamat, Johor"
2022,Kelantan,Gua Musang,"Gua Musang, Kelantan"
2022,Kelantan,Pasir Mas,"Pasir Mas, Kelantan"
2022,Pahang,Raub,"Raub, Pahang"
2022,Pahang,Temerloh,"Temerloh, Pahang"
2022,Johor,Kulaijaya,"Kulaijaya, Johor"
2022,Johor,Segamat,"Segamat, Johor"
2022,Johor,Kluang,"Kluang, Johor"
2022,Kelantan,Pasir Mas,"Pasir Mas, Kelantan"
2022,Kelantan,Tanah Merah,"Tanah Merah, Kelantan"
2022,Melaka,Alor Gajah,"Alor Gajah, Melaka"
2022,Perak,Hilir Perak,"Hilir Perak, Perak"
2022,Perak,Larut Dan Matang,"Larut Dan Matang, Perak"
2022,Perak,Selama,"Selama, Perak"
2022,Pulau Pinang,Seberang Perai Tengah,"Seberang Perai Tengah, Pulau Pinang"
2022,Pulau Pinang,Seberang Perai Utara,"Seberang Perai Utara, Pulau Pinang"
2022,Pahang,Bera,"Bera, Pahang"
2022,Pahang,Lipis,"Lipis, Pahang"
2022,Pahang,Temerloh,"Temerloh, Pahang"
2022,Perak,Larut Dan Matang,"Larut Dan Matang, Perak"
2022,Perak,Taiping,"Taiping, Perak"
2022,Johor,Segamat,"Segamat, Johor"
2022,Kelantan,Pasir Mas,"Pasir Mas, Kelantan"
2022,Pahang,Bera,"Bera, Pahang"
2022,Pahang,Jerantut,"Jerantut, Pahang"
2022,Pahang,Lipis,"Lipis, Pahang"
2022,Pahang,Raub,"Raub, Pahang"
2022,Pahang,Temerloh,"Temerloh, Pahang"
2022,Perak,Hilir Perak,"Hilir Perak, Perak"
2022,Terengganu,Dungun,"Dungun, Terengganu"
2022,Terengganu,Kemaman,"Kemaman, Terengganu"
2022,Terengganu,Kuala Nerus,"Kuala Nerus, Terengganu"
2022,Terengganu,Kuala Terengganu,"Kuala Terengganu, Terengganu"
2022,Terengganu,Setiu,"Setiu, Terengganu"
2022,Selangor,Batangkali,"Batangkali, Selangor"
2022,Perak,Segamat,"Segamat, Perak"
2022,Kelantan,Bachok,"Bachok, Kelantan"
2022,Kelantan,Jeli,"Jeli, Kelantan"
2022,Kelantan,Kota Bharu,"Kota Bharu, Kelantan"
2022,Kelantan,Kuala Krai,"Kuala Krai, Kelantan"
2022,Kelantan,Machang,"Machang, Kelantan"
2022,Kelantan,Pasir Mas,"Pasir Mas, Kelantan"
2022,Kelantan,Pasir Putih,"Pasir Putih, Kelantan"
2022,Kelantan,Tanah Merah,"Tanah Merah, Kelantan"
2022,Kelantan,Tumpat,"Tumpat, Kelantan"
2022,Pahang,Raub,"Raub, Pahang"
2022,Perak,Hilir Perak,"Hilir Perak, Perak"
2022,Terengganu,Besut,"Besut, Terengganu"
2022,Terengganu,Dungun,"Dungun, Terengganu"
2022,Terengganu,Hulu Terengganu,"Hulu Terengganu, Terengganu"
2022,Terengganu,Kemaman,"Kemaman, Terengganu"
2022,Terengganu,Kuala Terengganu,"Kuala Terengganu, Terengganu"
2022,Terengganu,Marang,"Marang, Terengganu"
2022,Terengganu,Setiu,"Setiu, Terengganu"
